west_start,south_start,oW,oS,latency_baseline_ms,latency_papa_ms,weight_C_to_W,weight_C_to_S,gain_baseline_div_papa
0,0,1.0,1.0,23.274307375892246,22.529340495133475,0.17224167409287416,0.22357088822018661,1.0330665196755178
0,10,1.0,0.9,23.13087086119391,23.130037072856222,0.19967434175791343,0.17007355740175034,1.000036047859978
0,20,1.0,0.8,23.114834655818264,22.769413756955085,0.30271826489005194,0.13489157693771608,1.015170390531362
0,30,1.0,0.7,31.300511251559932,26.164065335753175,0.461941815717532,0.017068244664832637,1.1963168127694517
0,40,1.0,0.6,27.169948854254763,25.965898580447988,0.3057614059114106,0.10971130201760819,1.0463704450695732
0,50,1.0,0.5,29.472993112337374,23.185404577691813,0.38362328258257256,0.04384601594158341,1.2711873546815422
0,60,1.0,0.4,30.2196261682243,25.32856163554982,0.4468514756013393,0.03431930732361381,1.1931047093416327
0,70,1.0,0.3,32.40043490516652,24.135862124506726,0.43825238194092997,0.006943306258048079,1.3424187931645595
0,80,1.0,0.2,32.24590824800452,24.280154701474498,0.40499716558570464,0.03153928802433095,1.328076721275844
0,90,1.0,0.1,33.044937933258105,25.185856469355684,0.385068612944953,0.042593295742297616,1.3120434468236082
0,100,1.0,0.0,34.686769800983,28.199226305609283,0.3933387089718128,0.04504284607367934,1.2300610458267516
10,0,0.9,1.0,23.48672495064663,23.14849169220842,0.22122422472446696,0.22041340593755393,1.0146114599143432
10,10,0.9,0.9,23.150540235445895,23.52766368688089,0.09295712677956423,0.35812512430268684,0.983971062471227
10,20,0.9,0.8,23.280743392735026,23.349424269264837,0.19383238943134745,0.25470882154185437,0.9970585623123814
10,30,0.9,0.7,27.192868067294533,23.457192332474225,0.4176573426573426,0.024650349650349637,1.1592550242958373
10,40,0.9,0.6,28.633169473769037,23.881793642480158,0.41961805555555554,0.023090277777777793,1.1989538935985649
10,50,0.9,0.5,29.82941176470588,24.60713565813344,0.4126593390392224,0.04786368667271543,1.2122260867386372
10,60,0.9,0.4,31.92140670319046,24.358362186971576,0.3907882641703096,0.0449006395636499,1.310490683165229
10,70,0.9,0.3,32.18435371407843,24.49643504531722,0.39409526230224934,0.04036378872247934,1.313838264814408
10,80,0.9,0.2,33.52193865228243,28.262081484469544,0.3791005820018178,0.047281580214893454,1.1861100418489439
10,90,0.9,0.1,33.57115780134694,28.58928211941861,0.4207903780068728,0.038042849778025495,1.1742567603173397
10,100,0.9,0.0,34.78411790762292,29.86093542279338,0.3920803951659331,0.04404966390581391,1.1648703369510518
25,0,0.75,1.0,23.329640224003867,23.174924532099013,0.321033480964002,0.1226406958124278,1.0066759955006783
25,10,0.75,0.9,23.04210696136162,23.296024514152084,0.30882031338458016,0.11831994162452734,0.9891003912433122
25,20,0.75,0.8,23.11872808608391,21.740329330777957,0.21619980944521355,0.19366736323030825,1.0634028461268312
25,30,0.75,0.7,26.123318566250504,24.563565297981224,0.07156411786556013,0.3697912253142835,1.063498651329637
25,40,0.75,0.6,27.39948432841834,22.83046683046683,0.37722343169500394,0.04261176802248809,1.200128080248199
25,50,0.75,0.5,28.862934751944547,29.038356274651857,0.3392724151515814,0.09791643614490005,0.9939589720214144
25,60,0.75,0.4,31.039954980303882,23.757773481553084,0.43425968566876844,0.008506573709066115,1.306517843703035
25,70,0.75,0.3,32.07484692233322,26.753031218529706,0.3882284858618312,0.04810386254269469,1.198923840081251
25,80,0.75,0.2,31.82780843436581,24.69129276952873,0.3869651771132555,0.044510945151485376,1.2890296482833083
25,90,0.75,0.1,32.94724955638005,24.85239227699625,0.39097353282867414,0.04185888439821836,1.325717427487917
25,100,0.75,0.0,33.7420202020202,31.213908911529014,0.2801424510411365,0.037961358047599536,1.0809931014297736
