,Constraint Name,Constraint equation,Sense,RHS
0,"normalized_load_('corecontrast@POST@/multicore#us-south-1#start', 'corecontrast@POST@/multicore#us-south-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_south_1#start',_'corecontrast@POST@/multicore#us_south_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/multicore#us_south_1#start',_'corecontrast@POST@/multicore#us_south_1#end')]",=,0.0
1,"normalized_load_('corecontrast@POST@/singlecore#us-south-1#start', 'corecontrast@POST@/singlecore#us-south-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_south_1#start',_'corecontrast@POST@/singlecore#us_south_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/singlecore#us_south_1#start',_'corecontrast@POST@/singlecore#us_south_1#end')]",=,0.0
2,"normalized_load_('sslateingress@POST@/multicore#us-south-1#start', 'sslateingress@POST@/multicore#us-south-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_south_1#start',_'sslateingress@POST@/multicore#us_south_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/multicore#us_south_1#start',_'sslateingress@POST@/multicore#us_south_1#end')]",=,0.0
3,"normalized_load_('sslateingress@POST@/singlecore#us-south-1#start', 'sslateingress@POST@/singlecore#us-south-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_south_1#start',_'sslateingress@POST@/singlecore#us_south_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/singlecore#us_south_1#start',_'sslateingress@POST@/singlecore#us_south_1#end')]",=,0.0
4,"normalized_load_('corecontrast@POST@/multicore#us-east-1#start', 'corecontrast@POST@/multicore#us-east-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_east_1#start',_'corecontrast@POST@/multicore#us_east_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/multicore#us_east_1#start',_'corecontrast@POST@/multicore#us_east_1#end')]",=,0.0
5,"normalized_load_('corecontrast@POST@/singlecore#us-east-1#start', 'corecontrast@POST@/singlecore#us-east-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_east_1#start',_'corecontrast@POST@/singlecore#us_east_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/singlecore#us_east_1#start',_'corecontrast@POST@/singlecore#us_east_1#end')]",=,0.0
6,"normalized_load_('sslateingress@POST@/multicore#us-east-1#start', 'sslateingress@POST@/multicore#us-east-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_east_1#start',_'sslateingress@POST@/multicore#us_east_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/multicore#us_east_1#start',_'sslateingress@POST@/multicore#us_east_1#end')]",=,0.0
7,"normalized_load_('sslateingress@POST@/singlecore#us-east-1#start', 'sslateingress@POST@/singlecore#us-east-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_east_1#start',_'sslateingress@POST@/singlecore#us_east_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/singlecore#us_east_1#start',_'sslateingress@POST@/singlecore#us_east_1#end')]",=,0.0
8,"normalized_load_('corecontrast@POST@/multicore#us-central-1#start', 'corecontrast@POST@/multicore#us-central-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_central_1#start',_'corecontrast@POST@/multicore#us_central_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/multicore#us_central_1#start',_'corecontrast@POST@/multicore#us_central_1#end')]",=,0.0
9,"normalized_load_('corecontrast@POST@/singlecore#us-central-1#start', 'corecontrast@POST@/singlecore#us-central-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_central_1#start',_'corecontrast@POST@/singlecore#us_central_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/singlecore#us_central_1#start',_'corecontrast@POST@/singlecore#us_central_1#end')]",=,0.0
10,"normalized_load_('sslateingress@POST@/multicore#us-central-1#start', 'sslateingress@POST@/multicore#us-central-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_central_1#start',_'sslateingress@POST@/multicore#us_central_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/multicore#us_central_1#start',_'sslateingress@POST@/multicore#us_central_1#end')]",=,0.0
11,"normalized_load_('sslateingress@POST@/singlecore#us-central-1#start', 'sslateingress@POST@/singlecore#us-central-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_central_1#start',_'sslateingress@POST@/singlecore#us_central_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/singlecore#us_central_1#start',_'sslateingress@POST@/singlecore#us_central_1#end')]",=,0.0
12,"normalized_load_('sslateingress@POST@/multicore#us-west-1#start', 'sslateingress@POST@/multicore#us-west-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/multicore#us_west_1#start',_'sslateingress@POST@/multicore#us_west_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/multicore#us_west_1#start',_'sslateingress@POST@/multicore#us_west_1#end')]",=,0.0
13,"normalized_load_('sslateingress@POST@/singlecore#us-west-1#start', 'sslateingress@POST@/singlecore#us-west-1#end')","-1.0 load_for_compute_edge[('sslateingress@POST@/singlecore#us_west_1#start',_'sslateingress@POST@/singlecore#us_west_1#end')] + normalized_load_for_compute_edge[('sslateingress@POST@/singlecore#us_west_1#start',_'sslateingress@POST@/singlecore#us_west_1#end')]",=,0.0
14,"normalized_load_('corecontrast@POST@/multicore#us-west-1#start', 'corecontrast@POST@/multicore#us-west-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_west_1#start',_'corecontrast@POST@/multicore#us_west_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/multicore#us_west_1#start',_'corecontrast@POST@/multicore#us_west_1#end')]",=,0.0
15,"normalized_load_('corecontrast@POST@/singlecore#us-west-1#start', 'corecontrast@POST@/singlecore#us-west-1#end')","-1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_west_1#start',_'corecontrast@POST@/singlecore#us_west_1#end')] + normalized_load_for_compute_edge[('corecontrast@POST@/singlecore#us_west_1#start',_'corecontrast@POST@/singlecore#us_west_1#end')]",=,0.0
16,cluster_us-central-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_central_1#start')]",=,51.0
17,cluster_us-east-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_east_1#start')]",=,153.0
18,cluster_us-south-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_south_1#start')]",=,56.0
19,cluster_us-west-1_load_in_sslateingress@POST@/singlecore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_west_1#start')]",=,23.0
20,cluster_us-central-1_load_in_sslateingress@POST@/multicore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_central_1#start')]",=,202.0
21,cluster_us-east-1_load_in_sslateingress@POST@/multicore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_east_1#start')]",=,304.0
22,cluster_us-south-1_load_in_sslateingress@POST@/multicore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_south_1#start')]",=,203.0
23,cluster_us-west-1_load_in_sslateingress@POST@/multicore,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_west_1#start')]",=,101.0
24,source,"load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_west_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_east_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_central_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/singlecore#us_south_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_west_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_east_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_central_1#start')] + load_for_network_edge[('SOURCE#XXXX#end',_'sslateingress@POST@/multicore#us_south_1#start')]",=,1093.0
25,flow_conservation-start_node-corecontrast@POST@/multicore,"-1.0 load_for_compute_edge[('corecontrast@POST@/multicore#us_south_1#start',_'corecontrast@POST@/multicore#us_south_1#end')] + load_for_network_edge[('sslateingress@POST@/multicore#us_west_1#end',_'corecontrast@POST@/multicore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_central_1#end',_'corecontrast@POST@/multicore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/multicore#us_south_1#end',_'corecontrast@POST@/multicore#us_south_1#start')]",=,0.0
26,flow_conservation-start_node-corecontrast@POST@/singlecore,"-1.0 load_for_compute_edge[('corecontrast@POST@/singlecore#us_south_1#start',_'corecontrast@POST@/singlecore#us_south_1#end')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_west_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_east_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_central_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')] + load_for_network_edge[('sslateingress@POST@/singlecore#us_south_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')]",=,0.0
