counter,region,service,endpoint,rps
34,us-south-1,corecontrast,corecontrast@POST@/multicore,0
34,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
34,us-south-1,sslateingress,sslateingress@POST@/multicore,0
34,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
34,us-east-1,corecontrast,corecontrast@POST@/multicore,0
34,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
34,us-east-1,sslateingress,sslateingress@POST@/multicore,0
34,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
34,us-west-1,sslateingress,sslateingress@POST@/multicore,0
34,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
34,us-west-1,corecontrast,corecontrast@POST@/multicore,0
34,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
34,us-central-1,corecontrast,corecontrast@POST@/multicore,0
34,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
34,us-central-1,sslateingress,sslateingress@POST@/multicore,0
34,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
35,us-south-1,corecontrast,corecontrast@POST@/multicore,0
35,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
35,us-south-1,sslateingress,sslateingress@POST@/multicore,0
35,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
35,us-east-1,corecontrast,corecontrast@POST@/multicore,0
35,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
35,us-east-1,sslateingress,sslateingress@POST@/multicore,0
35,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
35,us-west-1,sslateingress,sslateingress@POST@/multicore,0
35,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
35,us-west-1,corecontrast,corecontrast@POST@/multicore,0
35,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
35,us-central-1,corecontrast,corecontrast@POST@/multicore,0
35,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
35,us-central-1,sslateingress,sslateingress@POST@/multicore,0
35,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
36,us-south-1,corecontrast,corecontrast@POST@/multicore,0
36,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
36,us-south-1,sslateingress,sslateingress@POST@/multicore,0
36,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
36,us-east-1,corecontrast,corecontrast@POST@/multicore,0
36,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
36,us-east-1,sslateingress,sslateingress@POST@/multicore,0
36,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
36,us-west-1,sslateingress,sslateingress@POST@/multicore,0
36,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
36,us-west-1,corecontrast,corecontrast@POST@/multicore,0
36,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
36,us-central-1,corecontrast,corecontrast@POST@/multicore,0
36,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
36,us-central-1,sslateingress,sslateingress@POST@/multicore,0
36,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
37,us-south-1,corecontrast,corecontrast@POST@/multicore,0
37,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
37,us-south-1,sslateingress,sslateingress@POST@/multicore,0
37,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
37,us-east-1,corecontrast,corecontrast@POST@/multicore,0
37,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
37,us-east-1,sslateingress,sslateingress@POST@/multicore,0
37,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
37,us-west-1,sslateingress,sslateingress@POST@/multicore,0
37,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
37,us-west-1,corecontrast,corecontrast@POST@/multicore,0
37,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
37,us-central-1,corecontrast,corecontrast@POST@/multicore,0
37,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
37,us-central-1,sslateingress,sslateingress@POST@/multicore,0
37,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
38,us-south-1,corecontrast,corecontrast@POST@/multicore,0
38,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
38,us-south-1,sslateingress,sslateingress@POST@/multicore,0
38,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
38,us-east-1,corecontrast,corecontrast@POST@/multicore,26
38,us-east-1,corecontrast,corecontrast@POST@/singlecore,16
38,us-east-1,sslateingress,sslateingress@POST@/multicore,0
38,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
38,us-west-1,sslateingress,sslateingress@POST@/multicore,0
38,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
38,us-west-1,corecontrast,corecontrast@POST@/multicore,15
38,us-west-1,corecontrast,corecontrast@POST@/singlecore,5
38,us-central-1,corecontrast,corecontrast@POST@/multicore,0
38,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
38,us-central-1,sslateingress,sslateingress@POST@/multicore,2
38,us-central-1,sslateingress,sslateingress@POST@/singlecore,1
39,us-south-1,corecontrast,corecontrast@POST@/multicore,95
39,us-south-1,corecontrast,corecontrast@POST@/singlecore,28
39,us-south-1,sslateingress,sslateingress@POST@/multicore,68
39,us-south-1,sslateingress,sslateingress@POST@/singlecore,20
39,us-east-1,corecontrast,corecontrast@POST@/multicore,198
39,us-east-1,corecontrast,corecontrast@POST@/singlecore,113
39,us-east-1,sslateingress,sslateingress@POST@/multicore,191
39,us-east-1,sslateingress,sslateingress@POST@/singlecore,108
39,us-west-1,sslateingress,sslateingress@POST@/multicore,126
39,us-west-1,sslateingress,sslateingress@POST@/singlecore,36
39,us-west-1,corecontrast,corecontrast@POST@/multicore,164
39,us-west-1,corecontrast,corecontrast@POST@/singlecore,49
39,us-central-1,corecontrast,corecontrast@POST@/multicore,100
39,us-central-1,corecontrast,corecontrast@POST@/singlecore,32
39,us-central-1,sslateingress,sslateingress@POST@/multicore,138
39,us-central-1,sslateingress,sslateingress@POST@/singlecore,35
40,us-south-1,corecontrast,corecontrast@POST@/multicore,197
40,us-south-1,corecontrast,corecontrast@POST@/singlecore,53
40,us-south-1,sslateingress,sslateingress@POST@/multicore,202
40,us-south-1,sslateingress,sslateingress@POST@/singlecore,55
40,us-east-1,corecontrast,corecontrast@POST@/multicore,292
40,us-east-1,corecontrast,corecontrast@POST@/singlecore,153
40,us-east-1,sslateingress,sslateingress@POST@/multicore,294
40,us-east-1,sslateingress,sslateingress@POST@/singlecore,155
40,us-west-1,sslateingress,sslateingress@POST@/multicore,196
40,us-west-1,sslateingress,sslateingress@POST@/singlecore,57
40,us-west-1,corecontrast,corecontrast@POST@/multicore,195
40,us-west-1,corecontrast,corecontrast@POST@/singlecore,49
40,us-central-1,corecontrast,corecontrast@POST@/multicore,212
40,us-central-1,corecontrast,corecontrast@POST@/singlecore,55
40,us-central-1,sslateingress,sslateingress@POST@/multicore,209
40,us-central-1,sslateingress,sslateingress@POST@/singlecore,53
41,us-south-1,corecontrast,corecontrast@POST@/multicore,211
41,us-south-1,corecontrast,corecontrast@POST@/singlecore,51
41,us-south-1,sslateingress,sslateingress@POST@/multicore,206
41,us-south-1,sslateingress,sslateingress@POST@/singlecore,49
41,us-east-1,corecontrast,corecontrast@POST@/multicore,322
41,us-east-1,corecontrast,corecontrast@POST@/singlecore,158
41,us-east-1,sslateingress,sslateingress@POST@/multicore,306
41,us-east-1,sslateingress,sslateingress@POST@/singlecore,149
41,us-west-1,sslateingress,sslateingress@POST@/multicore,205
41,us-west-1,sslateingress,sslateingress@POST@/singlecore,51
41,us-west-1,corecontrast,corecontrast@POST@/multicore,211
41,us-west-1,corecontrast,corecontrast@POST@/singlecore,56
41,us-central-1,corecontrast,corecontrast@POST@/multicore,203
41,us-central-1,corecontrast,corecontrast@POST@/singlecore,53
41,us-central-1,sslateingress,sslateingress@POST@/multicore,201
41,us-central-1,sslateingress,sslateingress@POST@/singlecore,54
42,us-south-1,corecontrast,corecontrast@POST@/multicore,209
42,us-south-1,corecontrast,corecontrast@POST@/singlecore,50
42,us-south-1,sslateingress,sslateingress@POST@/multicore,192
42,us-south-1,sslateingress,sslateingress@POST@/singlecore,58
