20,us-west-1,0.0
20,us-west-1,POST@/singlecore,0.0
20,us-west-1,POST@/multicore,0.0
20,us-central-1,0.0
20,us-central-1,POST@/singlecore,0.0
20,us-central-1,POST@/multicore,0.0
20,us-south-1,0.0
20,us-south-1,POST@/singlecore,0.0
20,us-south-1,POST@/multicore,0.0
20,us-east-1,0.0
20,us-east-1,POST@/singlecore,0.0
20,us-east-1,POST@/multicore,0.0
40,us-west-1,0.0
40,us-west-1,POST@/singlecore,0.0
40,us-west-1,POST@/multicore,0.0
40,us-central-1,0.0
40,us-central-1,POST@/singlecore,0.0
40,us-central-1,POST@/multicore,0.0
40,us-south-1,0.0
40,us-south-1,POST@/singlecore,0.0
40,us-south-1,POST@/multicore,0.0
40,us-east-1,0.0
40,us-east-1,POST@/singlecore,0.0
40,us-east-1,POST@/multicore,0.0
60,us-west-1,68.30170387779083
60,us-west-1,POST@/singlecore,212.0614934114202
60,us-west-1,POST@/multicore,32.216464535097394
60,us-central-1,102.4380637402285
60,us-central-1,POST@/singlecore,352.2930513595166
60,us-central-1,POST@/multicore,40.349474474474476
60,us-south-1,103.65312403816559
60,us-south-1,POST@/singlecore,431.7035330261137
60,us-south-1,POST@/multicore,21.45111624326405
60,us-east-1,122.54256205230718
60,us-east-1,POST@/singlecore,287.66182364729457
60,us-east-1,POST@/multicore,40.29198901921637
80,us-west-1,113.73678902783381
80,us-west-1,POST@/singlecore,441.3354037267081
80,us-west-1,POST@/multicore,34.46317635270541
80,us-central-1,195.64019350937312
80,us-central-1,POST@/singlecore,784.7579281183932
80,us-central-1,POST@/multicore,56.83437110834371
80,us-south-1,203.37135922330097
80,us-south-1,POST@/singlecore,798.709711846318
80,us-south-1,POST@/multicore,64.15697529323684
80,us-east-1,285.47315548610334
80,us-east-1,POST@/singlecore,693.8019768234492
80,us-east-1,POST@/multicore,86.62887966804979
100,us-west-1,122.01861386138614
100,us-west-1,POST@/singlecore,352.66990291262135
100,us-west-1,POST@/multicore,62.92139303482587
100,us-central-1,157.07664954563413
100,us-central-1,POST@/singlecore,488.16444866920153
100,us-central-1,POST@/multicore,70.21770573566084
100,us-south-1,157.07196372239747
100,us-south-1,POST@/singlecore,566.6153119092628
100,us-south-1,POST@/multicore,49.125560538116595
100,us-east-1,208.35595093380485
100,us-east-1,POST@/singlecore,502.85751719620043
100,us-east-1,POST@/multicore,58.40376917945297
120,us-west-1,167.04521704180064
120,us-west-1,POST@/singlecore,672.5182863113897
120,us-west-1,POST@/multicore,46.682508086588705
120,us-central-1,309.9587649807028
120,us-central-1,POST@/singlecore,1335.813596491228
120,us-central-1,POST@/multicore,76.70531039640987
120,us-south-1,292.504215851602
120,us-south-1,POST@/singlecore,1351.1497797356828
120,us-south-1,POST@/multicore,41.91762252346194
120,us-east-1,450.4781484962406
120,us-east-1,POST@/singlecore,1262.4376150165624
120,us-east-1,POST@/multicore,69.78895599654875
139,us-west-1,222.23067173637517
139,us-west-1,POST@/singlecore,896.3748733535967
139,us-west-1,POST@/multicore,44.65385641846811
139,us-central-1,375.7060217176703
139,us-central-1,POST@/singlecore,1547.5578168362626
139,us-central-1,POST@/multicore,57.741214859437754
139,us-south-1,388.7532788443262
139,us-south-1,POST@/singlecore,1582.9963065558634
139,us-south-1,POST@/multicore,79.18764959310676
139,us-east-1,656.377486246297
139,us-east-1,POST@/singlecore,1754.7510917030568
139,us-east-1,POST@/multicore,92.59494076208773
160,us-west-1,195.26517450682852
160,us-west-1,POST@/singlecore,787.3816942551119
160,us-west-1,POST@/multicore,52.01342756183745
160,us-central-1,348.7710280373832
160,us-central-1,POST@/singlecore,1565.9363839285713
160,us-central-1,POST@/multicore,77.88673621460507
160,us-south-1,309.5301204819277
160,us-south-1,POST@/singlecore,1582.179600886918
160,us-south-1,POST@/multicore,22.18848560700876
160,us-east-1,698.4998845265588
160,us-east-1,POST@/singlecore,2152.1554637626737
160,us-east-1,POST@/multicore,52.99633149908288
179,us-west-1,193.83369890329013
179,us-west-1,POST@/singlecore,713.7589641434263
179,us-west-1,POST@/multicore,63.69035153328347
179,us-central-1,382.5280031664358
179,us-central-1,POST@/singlecore,1505.6676082862523
179,us-central-1,POST@/multicore,83.66198947632172
179,us-south-1,340.26645582130857
179,us-south-1,POST@/singlecore,1544.5028355387524
179,us-south-1,POST@/multicore,21.825543614096475
179,us-east-1,723.5756288794512
179,us-east-1,POST@/singlecore,2019.392857142857
179,us-east-1,POST@/multicore,42.405050672869244
200,us-west-1,135.81259181532005
200,us-west-1,POST@/singlecore,498.663179916318
200,us-west-1,POST@/multicore,44.742714623260696
200,us-central-1,222.2832703401631
200,us-central-1,POST@/singlecore,847.9073891625616
200,us-central-1,POST@/multicore,64.00598205383848
200,us-south-1,206.57452736318407
200,us-south-1,POST@/singlecore,907.5216962524655
200,us-south-1,POST@/multicore,29.3717277486911
200,us-east-1,393.70725815306906
200,us-east-1,POST@/singlecore,1058.7715210355987
200,us-east-1,POST@/multicore,52.16686056174173
219,us-west-1,162.6279561622765
219,us-west-1,POST@/singlecore,670.1600771456124
219,us-west-1,POST@/multicore,36.23246878001921
219,us-central-1,278.173180998196
219,us-central-1,POST@/singlecore,1160.1404212637913
219,us-central-1,POST@/multicore,57.90230460921844
219,us-south-1,253.42283764800322
219,us-south-1,POST@/singlecore,1161.1112234580385
219,us-south-1,POST@/multicore,28.65973960941412
219,us-east-1,801.3097555454957
219,us-east-1,POST@/singlecore,2395.7984441301273
219,us-east-1,POST@/multicore,50.77480026631159
