20,us-west-1,0.0
20,us-west-1,POST@/singlecore,0.0
20,us-west-1,POST@/multicore,0.0
20,us-central-1,0.0
20,us-central-1,POST@/singlecore,0.0
20,us-central-1,POST@/multicore,0.0
20,us-south-1,0.0
20,us-south-1,POST@/singlecore,0.0
20,us-south-1,POST@/multicore,0.0
20,us-east-1,0.0
20,us-east-1,POST@/singlecore,0.0
20,us-east-1,POST@/multicore,0.0
40,us-west-1,0.0
40,us-west-1,POST@/singlecore,0.0
40,us-west-1,POST@/multicore,0.0
40,us-central-1,0.0
40,us-central-1,POST@/singlecore,0.0
40,us-central-1,POST@/multicore,0.0
40,us-south-1,0.0
40,us-south-1,POST@/singlecore,0.0
40,us-south-1,POST@/multicore,0.0
40,us-east-1,0.0
40,us-east-1,POST@/singlecore,0.0
40,us-east-1,POST@/multicore,0.0
60,us-west-1,42.71807228915662
60,us-west-1,POST@/singlecore,78.64322469982848
60,us-west-1,POST@/multicore,33.698105081826014
60,us-central-1,25.614040660736975
60,us-central-1,POST@/singlecore,52.64511041009464
60,us-central-1,POST@/multicore,18.797136038186157
60,us-south-1,37.65297965116279
60,us-south-1,POST@/singlecore,74.04770642201835
60,us-south-1,POST@/multicore,28.665609424558223
60,us-east-1,478.52790608160126
60,us-east-1,POST@/singlecore,1664.6901408450703
60,us-east-1,POST@/multicore,32.46054025423729
80,us-west-1,23.640262172284643
80,us-west-1,POST@/singlecore,51.26610644257703
80,us-west-1,POST@/multicore,16.709533848676504
80,us-central-1,23.740244146487893
80,us-central-1,POST@/singlecore,49.98795180722892
80,us-central-1,POST@/multicore,17.206198450387404
80,us-south-1,28.29477259860351
80,us-south-1,POST@/singlecore,57.555140186915885
80,us-south-1,POST@/multicore,20.891463703003073
80,us-east-1,1618.6414956011731
80,us-east-1,POST@/singlecore,5966.8984771573605
80,us-east-1,POST@/multicore,52.63303972079109
100,us-west-1,21.67997604312238
100,us-west-1,POST@/singlecore,45.78657314629258
100,us-west-1,POST@/multicore,15.681874844178509
100,us-central-1,29.068345323741006
100,us-central-1,POST@/singlecore,57.670670670670674
100,us-central-1,POST@/multicore,21.93383270911361
100,us-south-1,23.995609658750748
100,us-south-1,POST@/singlecore,50.15911379657603
100,us-south-1,POST@/multicore,17.529616724738677
100,us-east-1,3118.870589656839
100,us-east-1,POST@/singlecore,11279.676483516483
100,us-east-1,POST@/multicore,25.08065322446259
119,us-west-1,79.83456790123456
119,us-west-1,POST@/singlecore,167.03347280334728
119,us-west-1,POST@/multicore,58.48155737704918
119,us-central-1,105.61917372881356
119,us-central-1,POST@/singlecore,254.69942196531792
119,us-central-1,POST@/multicore,72.16796368352789
119,us-south-1,113.05480540111199
119,us-south-1,POST@/singlecore,331.69874476987445
119,us-south-1,POST@/multicore,61.8235294117647
119,us-east-1,3933.0364335822583
119,us-east-1,POST@/singlecore,10569.247700797057
119,us-east-1,POST@/multicore,50.805236728837876
138,us-west-1,123.94214876033058
138,us-west-1,POST@/singlecore,468.8455696202532
138,us-west-1,POST@/multicore,28.000704225352113
138,us-central-1,210.21494893221913
138,us-central-1,POST@/singlecore,849.5793269230769
138,us-central-1,POST@/multicore,57.1795166858458
138,us-south-1,170.95068137573006
138,us-south-1,POST@/singlecore,739.152
138,us-south-1,POST@/multicore,26.414326414326414
138,us-east-1,3571.4874031007753
138,us-east-1,POST@/singlecore,13237.156079854809
138,us-east-1,POST@/multicore,51.47191011235955
158,us-west-1,60.49108910891089
158,us-west-1,POST@/singlecore,101.87414965986395
158,us-west-1,POST@/multicore,50.52661752661753
158,us-central-1,68.62581063553826
158,us-central-1,POST@/singlecore,156.01661129568106
158,us-central-1,POST@/multicore,47.42949234488316
158,us-south-1,54.71315372424723
158,us-south-1,POST@/singlecore,138.3760683760684
158,us-south-1,POST@/multicore,35.6692607003891
158,us-east-1,3754.7539217981744
158,us-east-1,POST@/singlecore,9401.710572947432
158,us-east-1,POST@/multicore,46.33747090768037
178,us-west-1,70.03300076745971
178,us-west-1,POST@/singlecore,247.97069597069597
178,us-west-1,POST@/multicore,22.870873786407767
178,us-central-1,181.14701866181156
178,us-central-1,POST@/singlecore,659.2870588235294
178,us-central-1,POST@/multicore,66.46896162528216
178,us-south-1,136.58499170812604
178,us-south-1,POST@/singlecore,549.0525210084033
178,us-south-1,POST@/multicore,35.17252066115702
178,us-east-1,3511.508494434681
178,us-east-1,POST@/singlecore,10775.139040680024
178,us-east-1,POST@/multicore,67.87017846862406
198,us-west-1,63.33548387096774
198,us-west-1,POST@/singlecore,157.0
198,us-west-1,POST@/multicore,38.0
198,us-central-1,86.14992503748125
198,us-central-1,POST@/singlecore,281.1842105263158
198,us-central-1,POST@/multicore,45.943942133815554
198,us-south-1,114.59558160504959
198,us-south-1,POST@/singlecore,390.62893081761007
198,us-south-1,POST@/multicore,38.96783457782883
198,us-east-1,3861.3086946221274
198,us-east-1,POST@/singlecore,11120.208044382802
198,us-east-1,POST@/multicore,94.72616048938467
218,us-west-1,112.62619047619047
218,us-west-1,POST@/singlecore,440.2
218,us-west-1,POST@/multicore,29.51044776119403
218,us-central-1,120.94069640914037
218,us-central-1,POST@/singlecore,481.51666666666665
218,us-central-1,POST@/multicore,33.114343707713125
218,us-south-1,207.80234505862646
218,us-south-1,POST@/singlecore,829.4450402144772
218,us-south-1,POST@/multicore,44.281382228490834
218,us-east-1,3942.9449429037522
218,us-east-1,POST@/singlecore,9437.840039254172
218,us-east-1,POST@/multicore,35.54919748778786
