counter,region,service,endpoint,rps
41,us-west-1,sslateingress,sslateingress@POST@/multicore,0
41,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
41,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
41,us-west-1,corecontrast,corecontrast@POST@/multicore,0
41,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
41,us-central-1,corecontrast,corecontrast@POST@/multicore,0
41,us-central-1,sslateingress,sslateingress@POST@/multicore,0
41,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
41,us-east-1,sslateingress,sslateingress@POST@/multicore,0
41,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
41,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
41,us-east-1,corecontrast,corecontrast@POST@/multicore,0
41,us-south-1,sslateingress,sslateingress@POST@/multicore,0
41,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
41,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
41,us-south-1,corecontrast,corecontrast@POST@/multicore,0
42,us-west-1,sslateingress,sslateingress@POST@/multicore,0
42,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
42,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
42,us-west-1,corecontrast,corecontrast@POST@/multicore,0
42,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
42,us-central-1,corecontrast,corecontrast@POST@/multicore,0
42,us-central-1,sslateingress,sslateingress@POST@/multicore,0
42,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
42,us-east-1,sslateingress,sslateingress@POST@/multicore,0
42,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
42,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
42,us-east-1,corecontrast,corecontrast@POST@/multicore,0
42,us-south-1,sslateingress,sslateingress@POST@/multicore,0
42,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
42,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
42,us-south-1,corecontrast,corecontrast@POST@/multicore,0
43,us-west-1,sslateingress,sslateingress@POST@/multicore,0
43,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
43,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
43,us-west-1,corecontrast,corecontrast@POST@/multicore,0
43,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
43,us-central-1,corecontrast,corecontrast@POST@/multicore,0
43,us-central-1,sslateingress,sslateingress@POST@/multicore,0
43,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
43,us-east-1,sslateingress,sslateingress@POST@/multicore,0
43,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
43,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
43,us-east-1,corecontrast,corecontrast@POST@/multicore,0
43,us-south-1,sslateingress,sslateingress@POST@/multicore,0
43,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
43,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
43,us-south-1,corecontrast,corecontrast@POST@/multicore,0
44,us-west-1,sslateingress,sslateingress@POST@/multicore,0
44,us-west-1,sslateingress,sslateingress@POST@/singlecore,0
44,us-west-1,corecontrast,corecontrast@POST@/singlecore,0
44,us-west-1,corecontrast,corecontrast@POST@/multicore,0
44,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
44,us-central-1,corecontrast,corecontrast@POST@/multicore,0
44,us-central-1,sslateingress,sslateingress@POST@/multicore,0
44,us-central-1,sslateingress,sslateingress@POST@/singlecore,0
44,us-east-1,sslateingress,sslateingress@POST@/multicore,0
44,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
44,us-east-1,corecontrast,corecontrast@POST@/singlecore,0
44,us-east-1,corecontrast,corecontrast@POST@/multicore,0
44,us-south-1,sslateingress,sslateingress@POST@/multicore,0
44,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
44,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
44,us-south-1,corecontrast,corecontrast@POST@/multicore,0
45,us-west-1,sslateingress,sslateingress@POST@/multicore,25
45,us-west-1,sslateingress,sslateingress@POST@/singlecore,6
45,us-west-1,corecontrast,corecontrast@POST@/singlecore,2
45,us-west-1,corecontrast,corecontrast@POST@/multicore,0
45,us-central-1,corecontrast,corecontrast@POST@/singlecore,0
45,us-central-1,corecontrast,corecontrast@POST@/multicore,0
45,us-central-1,sslateingress,sslateingress@POST@/multicore,0
45,us-central-1,sslateingress,sslateingress@POST@/singlecore,1
45,us-east-1,sslateingress,sslateingress@POST@/multicore,0
45,us-east-1,sslateingress,sslateingress@POST@/singlecore,0
45,us-east-1,corecontrast,corecontrast@POST@/singlecore,8
45,us-east-1,corecontrast,corecontrast@POST@/multicore,15
45,us-south-1,sslateingress,sslateingress@POST@/multicore,0
45,us-south-1,sslateingress,sslateingress@POST@/singlecore,0
45,us-south-1,corecontrast,corecontrast@POST@/singlecore,0
45,us-south-1,corecontrast,corecontrast@POST@/multicore,0
46,us-west-1,sslateingress,sslateingress@POST@/multicore,118
46,us-west-1,sslateingress,sslateingress@POST@/singlecore,45
46,us-west-1,corecontrast,corecontrast@POST@/singlecore,48
46,us-west-1,corecontrast,corecontrast@POST@/multicore,163
46,us-central-1,corecontrast,corecontrast@POST@/singlecore,29
46,us-central-1,corecontrast,corecontrast@POST@/multicore,97
46,us-central-1,sslateingress,sslateingress@POST@/multicore,134
46,us-central-1,sslateingress,sslateingress@POST@/singlecore,35
46,us-east-1,sslateingress,sslateingress@POST@/multicore,116
46,us-east-1,sslateingress,sslateingress@POST@/singlecore,34
46,us-east-1,corecontrast,corecontrast@POST@/singlecore,44
