20,us-west-1,0.0
20,us-west-1,POST@/singlecore,0.0
20,us-west-1,POST@/multicore,0.0
20,us-central-1,0.0
20,us-central-1,POST@/singlecore,0.0
20,us-central-1,POST@/multicore,0.0
20,us-south-1,0.0
20,us-south-1,POST@/singlecore,0.0
20,us-south-1,POST@/multicore,0.0
20,us-east-1,0.0
20,us-east-1,POST@/singlecore,0.0
20,us-east-1,POST@/multicore,0.0
40,us-west-1,0.0
40,us-west-1,POST@/singlecore,0.0
40,us-west-1,POST@/multicore,0.0
40,us-central-1,0.0
40,us-central-1,POST@/singlecore,0.0
40,us-central-1,POST@/multicore,0.0
40,us-south-1,0.0
40,us-south-1,POST@/singlecore,0.0
40,us-south-1,POST@/multicore,0.0
40,us-east-1,0.0
40,us-east-1,POST@/singlecore,0.0
40,us-east-1,POST@/multicore,0.0
59,us-west-1,58.6707702020202
59,us-west-1,POST@/singlecore,100.35173501577287
59,us-west-1,POST@/multicore,48.2423046566693
59,us-central-1,27.797678275290217
59,us-central-1,POST@/singlecore,58.245065789473685
59,us-central-1,POST@/multicore,20.106771915247197
59,us-south-1,22.747436773752565
59,us-south-1,POST@/singlecore,50.89249146757679
59,us-south-1,POST@/multicore,15.699145299145298
59,us-east-1,19.124678663239074
59,us-east-1,POST@/singlecore,42.93620414673047
59,us-east-1,POST@/multicore,13.116700201207243
79,us-west-1,22.93033033033033
79,us-west-1,POST@/singlecore,51.063
79,us-west-1,POST@/multicore,15.888360450563203
79,us-central-1,28.343656343656345
79,us-central-1,POST@/singlecore,60.19597989949749
79,us-central-1,POST@/multicore,20.440149625935163
79,us-south-1,22.21004200840168
79,us-south-1,POST@/singlecore,49.06686626746507
79,us-south-1,POST@/multicore,15.477358018513886
79,us-east-1,55.48770737557466
79,us-east-1,POST@/singlecore,98.87112887112887
79,us-east-1,POST@/multicore,44.63643178410795
99,us-west-1,25.12794882047181
99,us-west-1,POST@/singlecore,54.47995991983968
99,us-west-1,POST@/multicore,17.81193806193806
99,us-central-1,37.45913461538461
99,us-central-1,POST@/singlecore,73.27672327672327
99,us-central-1,POST@/multicore,28.47557003257329
99,us-south-1,22.05437824870052
99,us-south-1,POST@/singlecore,48.633266533066134
99,us-south-1,POST@/multicore,15.429570429570429
99,us-east-1,25.35074775672981
99,us-east-1,POST@/singlecore,53.20260782347041
99,us-east-1,POST@/multicore,18.439771030363364
120,us-west-1,36.37095485417499
120,us-west-1,POST@/singlecore,72.32367632367632
120,us-west-1,POST@/multicore,27.38501872659176
120,us-central-1,76.32238152130626
120,us-central-1,POST@/singlecore,144.88111888111888
120,us-central-1,POST@/multicore,59.25516040785874
120,us-south-1,33.49009801960392
120,us-south-1,POST@/singlecore,68.13672654690619
120,us-south-1,POST@/multicore,24.804603452589443
120,us-east-1,58.849982225382156
120,us-east-1,POST@/singlecore,116.40111248454883
120,us-east-1,POST@/multicore,35.617015968063875
140,us-west-1,40.41009778487328
140,us-west-1,POST@/singlecore,84.22
140,us-west-1,POST@/multicore,29.487658937920717
140,us-central-1,49.98802873104549
140,us-central-1,POST@/singlecore,101.266
140,us-central-1,POST@/multicore,37.206879361914254
140,us-south-1,23.831536926147706
140,us-south-1,POST@/singlecore,54.37274549098196
140,us-south-1,POST@/multicore,16.234297108673978
140,us-east-1,38.18533333333333
140,us-east-1,POST@/singlecore,83.1196410767697
140,us-east-1,POST@/multicore,15.616925388082123
159,us-west-1,27.815710573655807
159,us-west-1,POST@/singlecore,60.644067796610166
159,us-west-1,POST@/multicore,19.584
159,us-central-1,23.18384845463609
159,us-central-1,POST@/singlecore,52.11852589641434
159,us-central-1,POST@/multicore,15.94116180503615
159,us-south-1,31.532387045181927
159,us-south-1,POST@/singlecore,70.32064128256513
159,us-south-1,POST@/multicore,21.864385614385615
159,us-east-1,43.08055925432756
159,us-east-1,POST@/singlecore,85.67467467467468
159,us-east-1,POST@/multicore,21.85785536159601
180,us-west-1,56.283346806790625
180,us-west-1,POST@/singlecore,110.75278622087133
180,us-west-1,POST@/multicore,42.710679121433984
180,us-central-1,72.89061566049014
180,us-central-1,POST@/singlecore,141.03792415169661
180,us-central-1,POST@/multicore,55.891959173512575
180,us-south-1,40.96624725384462
180,us-south-1,POST@/singlecore,83.11155378486056
180,us-south-1,POST@/multicore,30.395703222583062
180,us-east-1,69.1613924050633
180,us-east-1,POST@/singlecore,124.16117764471058
180,us-east-1,POST@/multicore,41.6065
200,us-west-1,30.75205123073844
200,us-west-1,POST@/singlecore,67.64335664335664
200,us-west-1,POST@/multicore,21.51076076076076
200,us-central-1,59.65370741482966
200,us-central-1,POST@/singlecore,128.96686746987953
200,us-central-1,POST@/multicore,42.36880320480721
200,us-south-1,53.68170926517572
200,us-south-1,POST@/singlecore,107.25751503006012
200,us-south-1,POST@/multicore,40.34788029925187
200,us-east-1,68.1153078202995
200,us-east-1,POST@/singlecore,125.84634634634635
200,us-east-1,POST@/multicore,39.36490528414756
220,us-west-1,24.622479536833698
220,us-west-1,POST@/singlecore,56.13373253493014
220,us-west-1,POST@/multicore,16.742700274519592
220,us-central-1,28.186027944111775
220,us-central-1,POST@/singlecore,61.200803212851405
220,us-central-1,POST@/multicore,19.994020926756352
220,us-south-1,24.33873225354929
220,us-south-1,POST@/singlecore,54.2901296111665
220,us-south-1,POST@/multicore,16.824662331165584
220,us-east-1,40.10489510489511
220,us-east-1,POST@/singlecore,80.32517482517483
220,us-east-1,POST@/multicore,19.994755244755243
