,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict,endpoint
40,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,576efdc5a96eec501e6a0bf6f75bddd6,845e7ac5a691ce62,0104d665344edb20,1727312036126,1727312036133,7,0,0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:50|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder
56,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,4b86eee2033b3820ec8e6d79ffafa1a7,6d082e80efd552d1,9c7d640a0ccb2d59,1727312035929,1727312035945,16,0,0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:35|,cartservice@POST@/hipstershop.CartService/GetCart
138,us-west-1,frontend,POST,/cart/checkout,4b86eee2033b3820ec8e6d79ffafa1a7,12d887b7da6c8ee9,ec8e6d79ffafa1a7,1727312035912,1727312036327,415,0,0,-1,frontend@POST@/cart/checkout:10|,frontend@POST@/cart/checkout:41|,frontend@POST@/cart/checkout
142,us-west-1,frontend,POST,/cart/checkout,576efdc5a96eec501e6a0bf6f75bddd6,c4d5a575e5a99250,1e6a0bf6f75bddd6,1727312035945,1727312036216,271,0,0,-1,frontend@POST@/cart/checkout:14|,frontend@POST@/cart/checkout:51|,frontend@POST@/cart/checkout
155,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,4b86eee2033b3820ec8e6d79ffafa1a7,d15a4939bc0e058d,9c7d640a0ccb2d59,1727312036057,1727312036065,8,0,0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:47|,paymentservice@POST@/hipstershop.PaymentService/Charge
227,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,4b86eee2033b3820ec8e6d79ffafa1a7,c324d8b4e2e43421,9c7d640a0ccb2d59,1727312036131,1727312036142,11,0,0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:3|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:55|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder
245,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,576efdc5a96eec501e6a0bf6f75bddd6,0104d665344edb20,c4d5a575e5a99250,1727312036007,1727312036162,155,0,0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:53|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder
294,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,576efdc5a96eec501e6a0bf6f75bddd6,840624793329c877,0104d665344edb20,1727312036012,1727312036020,8,0,0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:52|,cartservice@POST@/hipstershop.CartService/GetCart
303,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,0ce6a43bb8b83d459f840b87246b6df5,0efd89bf19eb8ff4,f5235edf8b1ee904,1727312036478,1727312036495,17,0,0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:137|,cartservice@POST@/hipstershop.CartService/GetCart
359,us-west-1,sslateingress,POST,/cart/checkout,576efdc5a96eec501e6a0bf6f75bddd6,1e6a0bf6f75bddd6,,1727312035774,1727312036302,528,0,0,-1,sslateingress@POST@/cart/checkout:9|,sslateingress@POST@/cart/checkout:32|,sslateingress@POST@/cart/checkout
364,us-west-1,sslateingress,POST,/cart/checkout,4b86eee2033b3820ec8e6d79ffafa1a7,ec8e6d79ffafa1a7,,1727312035791,1727312036532,741,0,0,-1,sslateingress@POST@/cart/checkout:14|,sslateingress@POST@/cart/checkout:42|,sslateingress@POST@/cart/checkout
389,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,4b86eee2033b3820ec8e6d79ffafa1a7,9c7d640a0ccb2d59,12d887b7da6c8ee9,1727312035916,1727312036277,361,0,0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:38|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder
403,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,0ce6a43bb8b83d459f840b87246b6df5,f5235edf8b1ee904,60a22c477fd3aeea,1727312036453,1727312036678,225,0,0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:136|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder
467,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,576efdc5a96eec501e6a0bf6f75bddd6,662d34bc3ca98ac0,0104d665344edb20,1727312036093,1727312036106,13,0,0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:56|,paymentservice@POST@/hipstershop.PaymentService/Charge
484,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,06f2cc43813b0a64f92d6e9fdeb876eb,40914f01cdd1f856,852ce69eb6729b29,1727312036606,1727312036617,11,0,0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:2|,paymentservice@POST@/hipstershop.PaymentService/Charge:124|,paymentservice@POST@/hipstershop.PaymentService/Charge
530,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,576efdc5a96eec501e6a0bf6f75bddd6,38221fb7b95f86cf,c4d5a575e5a99250,1727312036181,1727312036210,29,0,0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:2|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:48|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations
550,us-west-1,frontend,POST,/cart/checkout,0ce6a43bb8b83d459f840b87246b6df5,60a22c477fd3aeea,9f840b87246b6df5,1727312036430,1727312036779,349,0,0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:143|,frontend@POST@/cart/checkout
590,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,4b86eee2033b3820ec8e6d79ffafa1a7,d73c300ec1852682,12d887b7da6c8ee9,1727312036304,1727312036320,16,0,0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:62|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations
608,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,06f2cc43813b0a64f92d6e9fdeb876eb,a93dc6f0d5e3db57,106f3d813e2ba303,1727312036698,1727312036768,70,0,0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:2|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:112|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations
631,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,0ce6a43bb8b83d459f840b87246b6df5,0f0dcbe3d8e8bf79,f5235edf8b1ee904,1727312036580,1727312036595,15,0,0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:122|,paymentservice@POST@/hipstershop.PaymentService/Charge
656,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,576efdc5a96eec501e6a0bf6f75bddd6,4cfe824349e4e3fb,0104d665344edb20,1727312036148,1727312036152,4,0,0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:51|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation
658,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,4b86eee2033b3820ec8e6d79ffafa1a7,9d7375655811d081,9c7d640a0ccb2d59,1727312036229,1727312036236,7,0,0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:63|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation
755,us-west-1,sslateingress,POST,/cart/checkout,06f2cc43813b0a64f92d6e9fdeb876eb,f92d6e9fdeb876eb,,1727312036441,1727312036830,389,0,0,-1,sslateingress@POST@/cart/checkout:2|,sslateingress@POST@/cart/checkout:186|,sslateingress@POST@/cart/checkout
