,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,corecontrast,POST,/multicore,a55aecdd4b40c5a1b533d14f57d967d0,a0211be3eb5fc17b,b533d14f57d967d0,22.0,95.0,73.0,73.0,73.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:184|
1,us-west-1,sslateingress,POST,/multicore,a55aecdd4b40c5a1b533d14f57d967d0,b533d14f57d967d0,nan,0.0,103.0,103.0,30.0,103.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:184|
2,us-west-1,corecontrast,POST,/multicore,0a50eeda7ab6acddffc3c93f10a71519,2a067d22487e5bee,ffc3c93f10a71519,13.0,381.0,368.0,368.0,368.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:556|
3,us-west-1,sslateingress,POST,/multicore,0a50eeda7ab6acddffc3c93f10a71519,ffc3c93f10a71519,nan,0.0,383.0,383.0,15.0,383.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:548|
4,us-west-1,corecontrast,POST,/multicore,aceee676c4ca665996dbe1652a61e744,ff04854537a52b58,96dbe1652a61e744,6.0,189.0,183.0,183.0,183.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:592|
5,us-west-1,sslateingress,POST,/multicore,aceee676c4ca665996dbe1652a61e744,96dbe1652a61e744,nan,0.0,193.0,193.0,10.0,193.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:648|
6,us-west-1,corecontrast,POST,/multicore,2698df7ecb383fea5dfa24a1445dadf7,cdebde612e4a2cae,5dfa24a1445dadf7,3.0,131.0,128.0,128.0,128.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:936|
7,us-west-1,sslateingress,POST,/multicore,2698df7ecb383fea5dfa24a1445dadf7,5dfa24a1445dadf7,nan,0.0,135.0,135.0,7.0,135.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1012|
8,us-west-1,corecontrast,POST,/multicore,593562c22ab003f300b9a585417e5359,107f33ab497ea4cd,00b9a585417e5359,13.0,228.0,215.0,215.0,215.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:952|
9,us-west-1,sslateingress,POST,/multicore,593562c22ab003f300b9a585417e5359,00b9a585417e5359,nan,0.0,235.0,235.0,20.0,235.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:940|
10,us-west-1,corecontrast,POST,/multicore,12af9701cf198434e41b156fca2c5284,234bc01fa4afb908,e41b156fca2c5284,4.0,105.0,101.0,101.0,101.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1040|
