,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,39067eef61cbdfa5d51aa9fef4b67a12,48a221c301b155fb,d2282a71ee5bcfa1,69.0,70.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:0|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:172|
1,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,39067eef61cbdfa5d51aa9fef4b67a12,b38bc85d6a815fbd,d2282a71ee5bcfa1,40.0,41.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/ListProducts:0|productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/ListProducts:144|productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1308|
2,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,39067eef61cbdfa5d51aa9fef4b67a12,b38bc85d6a815fbd,d2282a71ee5bcfa1,40.0,41.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/ListProducts:0|productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/ListProducts:144|productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:1308|
3,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,39067eef61cbdfa5d51aa9fef4b67a12,b84cd6485118f3d3,1716464646614bfe,78.0,83.0,5.0,5.0,5.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:0|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:152|
4,us-west-1,sslateingress,POST,/cart/checkout,39067eef61cbdfa5d51aa9fef4b67a12,d51aa9fef4b67a12,nan,0.0,86.0,86.0,2.0,86.0,-1,sslateingress@POST@/cart/checkout:0|,sslateingress@POST@/cart/checkout:164|
5,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,39067eef61cbdfa5d51aa9fef4b67a12,bad198d4565468d3,d2282a71ee5bcfa1,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:0|,cartservice@POST@/hipstershop.CartService/GetCart:144|
6,us-west-1,frontend,POST,/cart/checkout,39067eef61cbdfa5d51aa9fef4b67a12,1716464646614bfe,d51aa9fef4b67a12,1.0,85.0,84.0,7.0,84.0,-1,frontend@POST@/cart/checkout:0|,frontend@POST@/cart/checkout:156|
7,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,39067eef61cbdfa5d51aa9fef4b67a12,d2282a71ee5bcfa1,1716464646614bfe,3.0,75.0,72.0,69.0,72.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:0|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:168|
8,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,39067eef61cbdfa5d51aa9fef4b67a12,a3c4c9cf86fc3254,d2282a71ee5bcfa1,66.0,67.0,1.0,1.0,1.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:0|,paymentservice@POST@/hipstershop.PaymentService/Charge:128|
9,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,39067eef61cbdfa5d51aa9fef4b67a12,20783120572073c0,d2282a71ee5bcfa1,72.0,74.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:0|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:136|
10,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,f14c03d1c604446a19766f935862d2fe,9878a2c561a4c564,0ee10e7419ff9228,4.0,6.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:0|,cartservice@POST@/hipstershop.CartService/GetCart:220|
