,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,6c144102cba46fe41f15a9e2f3239da4,98c4e2456832c578,b2bea443c986b7be,4.0,35.0,31.0,27.0,31.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:648|
1,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,6c144102cba46fe41f15a9e2f3239da4,c295376d95f3eea9,98c4e2456832c578,25.0,28.0,3.0,3.0,3.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1264|
2,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,6c144102cba46fe41f15a9e2f3239da4,9dd7c5bdb4cd8a22,98c4e2456832c578,6.0,9.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:664|
3,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,6c144102cba46fe41f15a9e2f3239da4,0e20ac5d57a31d15,b2bea443c986b7be,37.0,43.0,6.0,6.0,6.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1584|
4,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,6c144102cba46fe41f15a9e2f3239da4,58ed1be7a844709c,98c4e2456832c578,20.0,22.0,2.0,2.0,2.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709546635|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1112|
5,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,6c144102cba46fe41f15a9e2f3239da4,003536e2ec727312,98c4e2456832c578,15.0,17.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:696|
6,us-west-1,frontend,POST,/cart/checkout,6c144102cba46fe41f15a9e2f3239da4,b2bea443c986b7be,1f15a9e2f3239da4,3.0,45.0,42.0,5.0,42.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:640|
7,us-west-1,sslateingress,POST,/cart/checkout,6c144102cba46fe41f15a9e2f3239da4,1f15a9e2f3239da4,nan,0.0,47.0,47.0,5.0,47.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:656|
8,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,6c08f503682ed34bfb70117c639432b2,096e6500f5cd0e0f,36132414794c6d39,28.0,35.0,7.0,7.0,7.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:608|
9,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,6c08f503682ed34bfb70117c639432b2,b07d6ba71520cfe7,36132414794c6d39,4.0,26.0,22.0,19.0,22.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:608|
10,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,6c08f503682ed34bfb70117c639432b2,d40dcbaaa98f4f94,b07d6ba71520cfe7,7.0,10.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:608|
