,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,sslateingress,POST,/cart/checkout,8cbf1107326c686df2a360cb04ef23f3,f2a360cb04ef23f3,nan,0.0,454.0,454.0,339.0,454.0,-1,sslateingress@POST@/cart/checkout:16|,sslateingress@POST@/cart/checkout:536|
1,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,8cbf1107326c686df2a360cb04ef23f3,6e377872bbbdf478,f3df5fcbf3fcf87f,186.0,187.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709547367|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:152|
2,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,8cbf1107326c686df2a360cb04ef23f3,8294641a7a1371bd,f3df5fcbf3fcf87f,170.0,176.0,6.0,6.0,6.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:18446744073709547362|,paymentservice@POST@/hipstershop.PaymentService/Charge:152|
3,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,8cbf1107326c686df2a360cb04ef23f3,1ccb7bef5f04772d,29622aade39dc083,223.0,233.0,10.0,10.0,10.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:18446744073709548289|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:136|
4,us-west-1,frontend,POST,/cart/checkout,8cbf1107326c686df2a360cb04ef23f3,29622aade39dc083,f2a360cb04ef23f3,124.0,239.0,115.0,26.0,115.0,-1,frontend@POST@/cart/checkout:3|,frontend@POST@/cart/checkout:240|
5,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,8cbf1107326c686df2a360cb04ef23f3,d1d5736876ee4209,f3df5fcbf3fcf87f,136.0,140.0,4.0,4.0,4.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:160|
6,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,8cbf1107326c686df2a360cb04ef23f3,f3df5fcbf3fcf87f,29622aade39dc083,131.0,210.0,79.0,70.0,79.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:3|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:176|
7,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,8cbf1107326c686df2a360cb04ef23f3,f68474945d621be1,f3df5fcbf3fcf87f,194.0,199.0,5.0,5.0,5.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:18446744073709547339|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:152|
8,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,701c535f5be7981e9a05402fc93618ef,f99f5913884517b4,5c6bc23eae4ce913,18.0,35.0,17.0,17.0,17.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:1608|
9,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,701c535f5be7981e9a05402fc93618ef,5c6bc23eae4ce913,82c19e63b4fd4fff,8.0,152.0,144.0,134.0,144.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1616|
10,us-west-1,sslateingress,POST,/cart/checkout,701c535f5be7981e9a05402fc93618ef,9a05402fc93618ef,nan,0.0,217.0,217.0,15.0,217.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:1616|
11,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,701c535f5be7981e9a05402fc93618ef,13bfef04b6b8642f,5c6bc23eae4ce913,94.0,95.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1464|
12,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,701c535f5be7981e9a05402fc93618ef,a3cf727f9609c528,82c19e63b4fd4fff,161.0,204.0,43.0,43.0,43.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:2|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:2288|
13,us-west-1,frontend,POST,/cart/checkout,701c535f5be7981e9a05402fc93618ef,82c19e63b4fd4fff,9a05402fc93618ef,5.0,207.0,202.0,15.0,202.0,-1,frontend@POST@/cart/checkout:2|,frontend@POST@/cart/checkout:1600|
