,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,fe25438aec64295a04f25201e4d9bf88,cf0e261cdee932f3,06f70e729ef27c90,6.0,84.0,78.0,73.0,78.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:0|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:316|
1,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,fe25438aec64295a04f25201e4d9bf88,ad2940b88166d5ff,06f70e729ef27c90,93.0,105.0,12.0,12.0,12.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:0|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:296|
2,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,fe25438aec64295a04f25201e4d9bf88,8fdd2c18625a9dc0,cf0e261cdee932f3,59.0,60.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:0|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:356|
3,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,fe25438aec64295a04f25201e4d9bf88,f339a8dda69b48ce,cf0e261cdee932f3,14.0,16.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:0|,cartservice@POST@/hipstershop.CartService/GetCart:356|
4,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,fe25438aec64295a04f25201e4d9bf88,7f352fe1d0fdfa62,cf0e261cdee932f3,76.0,78.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:0|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:360|
5,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,fe25438aec64295a04f25201e4d9bf88,805fb323bfc272b5,cf0e261cdee932f3,46.0,49.0,3.0,3.0,3.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:0|,paymentservice@POST@/hipstershop.PaymentService/Charge:308|
6,us-west-1,frontend,POST,/cart/checkout,fe25438aec64295a04f25201e4d9bf88,06f70e729ef27c90,04f25201e4d9bf88,0.0,135.0,135.0,117.0,135.0,-1,frontend@POST@/cart/checkout:0|,frontend@POST@/cart/checkout:312|
7,us-west-1,currencyservice,POST,/hipstershop.CurrencyService/GetSupportedCurrencies,fe25438aec64295a04f25201e4d9bf88,05521cde59a4489a,06f70e729ef27c90,111.0,117.0,6.0,6.0,6.0,-1,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:0|,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:312|
8,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,c57fe76d5dbc3604d7867bd5cbd78140,0cd77660fcd61a6f,88bc712ffbc83dd5,14.0,17.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:0|,cartservice@POST@/hipstershop.CartService/GetCart:780|
9,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,c57fe76d5dbc3604d7867bd5cbd78140,f609d74411c75797,88bc712ffbc83dd5,58.0,59.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:0|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:728|
10,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,c57fe76d5dbc3604d7867bd5cbd78140,06758fe29106b892,88bc712ffbc83dd5,32.0,45.0,13.0,13.0,13.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:0|,paymentservice@POST@/hipstershop.PaymentService/Charge:776|
11,us-west-1,frontend,POST,/cart/checkout,c57fe76d5dbc3604d7867bd5cbd78140,4f25c836c1be0e0e,d7867bd5cbd78140,4.0,136.0,132.0,69.0,132.0,-1,frontend@POST@/cart/checkout:0|,frontend@POST@/cart/checkout:792|
12,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,c57fe76d5dbc3604d7867bd5cbd78140,6f54f7ab9591ba14,4f25c836c1be0e0e,67.0,75.0,8.0,8.0,8.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:0|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:720|
13,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,c57fe76d5dbc3604d7867bd5cbd78140,88bc712ffbc83dd5,4f25c836c1be0e0e,8.0,63.0,55.0,40.0,55.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:0|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:800|
14,us-west-1,sslateingress,POST,/cart/checkout,c57fe76d5dbc3604d7867bd5cbd78140,d7867bd5cbd78140,nan,0.0,139.0,139.0,7.0,139.0,-1,sslateingress@POST@/cart/checkout:0|,sslateingress@POST@/cart/checkout:840|
15,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,c57fe76d5dbc3604d7867bd5cbd78140,bbef46d7f1d93619,88bc712ffbc83dd5,52.0,54.0,2.0,2.0,2.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:0|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:756|
16,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,83fca1a383f1a905646f9fa8328fe900,1d7fbfa4dca02e2d,99f8f2bb56be8b5c,65.0,70.0,5.0,5.0,5.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:0|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:996|
17,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,83fca1a383f1a905646f9fa8328fe900,a77f77e9764b4567,99f8f2bb56be8b5c,91.0,93.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:0|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:908|
18,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,83fca1a383f1a905646f9fa8328fe900,2a686f07861400dd,99f8f2bb56be8b5c,34.0,38.0,4.0,4.0,4.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:0|,paymentservice@POST@/hipstershop.PaymentService/Charge:1052|
19,us-west-1,frontend,POST,/cart/checkout,83fca1a383f1a905646f9fa8328fe900,21d753f156cf97a8,646f9fa8328fe900,0.0,194.0,194.0,152.0,194.0,-1,frontend@POST@/cart/checkout:0|,frontend@POST@/cart/checkout:944|
20,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,83fca1a383f1a905646f9fa8328fe900,99f8f2bb56be8b5c,21d753f156cf97a8,2.0,108.0,106.0,97.0,106.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:0|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:960|
