,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,a27a27e092976193c09241e2d793a7d0,70c1c90ffc3bbc5d,75005130d4af73df,13.0,15.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:504|
1,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,a27a27e092976193c09241e2d793a7d0,dc6a9adc8c61a72d,3b1392516686459c,27.0,32.0,5.0,5.0,5.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:472|
2,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,a27a27e092976193c09241e2d793a7d0,75005130d4af73df,3b1392516686459c,3.0,24.0,21.0,17.0,21.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:496|
3,us-west-1,sslateingress,POST,/cart/checkout,a27a27e092976193c09241e2d793a7d0,c09241e2d793a7d0,nan,0.0,35.0,35.0,4.0,35.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:504|
4,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,a27a27e092976193c09241e2d793a7d0,53ec74140b66a071,75005130d4af73df,17.0,18.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:472|
5,us-west-1,frontend,POST,/cart/checkout,a27a27e092976193c09241e2d793a7d0,3b1392516686459c,c09241e2d793a7d0,2.0,33.0,31.0,5.0,31.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:504|
6,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,a27a27e092976193c09241e2d793a7d0,aa35c40a88ef2d9f,75005130d4af73df,21.0,23.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:472|
7,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,a27a27e092976193c09241e2d793a7d0,84f1ea030a6302eb,75005130d4af73df,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:512|
8,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,40ee530130140a26d8c88443fda1b946,9558f7d44d7772f7,f637a86ad4499faf,13.0,15.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:584|
9,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,40ee530130140a26d8c88443fda1b946,f637a86ad4499faf,b63d3894af640c02,3.0,22.0,19.0,16.0,19.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:584|
10,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,40ee530130140a26d8c88443fda1b946,af529375b2bb92da,f637a86ad4499faf,19.0,21.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:544|
11,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,40ee530130140a26d8c88443fda1b946,666072ff110d446a,f637a86ad4499faf,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:592|
12,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,40ee530130140a26d8c88443fda1b946,2f7f51782bcadbf5,b63d3894af640c02,25.0,31.0,6.0,6.0,6.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:552|
13,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,40ee530130140a26d8c88443fda1b946,6c0f45795aa1bf7a,f637a86ad4499faf,16.0,17.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:552|
14,us-west-1,sslateingress,POST,/cart/checkout,40ee530130140a26d8c88443fda1b946,d8c88443fda1b946,nan,0.0,33.0,33.0,3.0,33.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:616|
15,us-west-1,frontend,POST,/cart/checkout,40ee530130140a26d8c88443fda1b946,b63d3894af640c02,d8c88443fda1b946,2.0,32.0,30.0,5.0,30.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:576|
16,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,fc4a384ba47ee024b4d47cf6026aeaf9,94bc8d4124978b39,16a31266016a6bae,12.0,13.0,1.0,1.0,1.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:592|
17,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,fc4a384ba47ee024b4d47cf6026aeaf9,16a31266016a6bae,e4ab75fc4c2dbdb1,4.0,20.0,16.0,13.0,16.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:608|
18,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,fc4a384ba47ee024b4d47cf6026aeaf9,a9b69802443177d1,16a31266016a6bae,18.0,19.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:560|
19,us-west-1,sslateingress,POST,/cart/checkout,fc4a384ba47ee024b4d47cf6026aeaf9,b4d47cf6026aeaf9,nan,0.0,31.0,31.0,3.0,31.0,-1,sslateingress@POST@/cart/checkout:4|,sslateingress@POST@/cart/checkout:600|
