,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
879,us-west-1,currencyservice,POST,/hipstershop.CurrencyService/GetSupportedCurrencies,10791d830ceaaa6ccc2ea1100dda60b3,70e8584c564f3fee,f63f21668660acc6,1714286683159,1714286683162,3,0,0,-1,currencyservice@POST@/hipstershop.CurrencyService/Convert:0|currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:1|,currencyservice@POST@/hipstershop.CurrencyService/Convert:29|currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:34|
881,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,10791d830ceaaa6ccc2ea1100dda60b3,3d487d697d3a7335,e9f34dc2d919e038,1714286683146,1714286683147,1,0,0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:18446744073709551245|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:43|
882,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,10791d830ceaaa6ccc2ea1100dda60b3,5f9faa74bbbd11e4,e9f34dc2d919e038,1714286683143,1714286683144,1,0,0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709551259|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:40|
886,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,10791d830ceaaa6ccc2ea1100dda60b3,1eeb4e127a928e33,f63f21668660acc6,1714286683150,1714286683157,7,0,0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:18446744073709551252|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:32|
902,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,10791d830ceaaa6ccc2ea1100dda60b3,5e7207df88340565,e9f34dc2d919e038,1714286683139,1714286683141,2,0,0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:31|
910,us-west-1,frontend,POST,/cart/checkout,10791d830ceaaa6ccc2ea1100dda60b3,f63f21668660acc6,cc2ea1100dda60b3,1714286683123,1714286683163,40,0,0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:38|
914,us-west-1,sslateingress,POST,/cart/checkout,10791d830ceaaa6ccc2ea1100dda60b3,cc2ea1100dda60b3,,1714286683122,1714286683164,42,0,0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:31|
917,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,10791d830ceaaa6ccc2ea1100dda60b3,e9f34dc2d919e038,f63f21668660acc6,1714286683125,1714286683148,23,0,0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:39|
931,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,10791d830ceaaa6ccc2ea1100dda60b3,511947c53d5606d6,e9f34dc2d919e038,1714286683130,1714286683132,2,0,0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:34|
1650,us-west-1,sslateingress,POST,/cart/checkout,d39983326445f908cb5f2ae1d68ad5b9,cb5f2ae1d68ad5b9,,1714286693747,1714286693783,36,0,0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:30|
1671,us-west-1,currencyservice,POST,/hipstershop.CurrencyService/GetSupportedCurrencies,d39983326445f908cb5f2ae1d68ad5b9,4a9b355fd60eb3d8,85a1c260a290df1c,1714286693779,1714286693780,1,0,0,-1,currencyservice@POST@/hipstershop.CurrencyService/Convert:0|currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:1|,currencyservice@POST@/hipstershop.CurrencyService/Convert:40|currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:36|
1677,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,d39983326445f908cb5f2ae1d68ad5b9,10aed49379206008,85a1c260a290df1c,1714286693773,1714286693778,5,0,0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:31|
1697,us-west-1,frontend,POST,/cart/checkout,d39983326445f908cb5f2ae1d68ad5b9,85a1c260a290df1c,cb5f2ae1d68ad5b9,1714286693749,1714286693782,33,0,0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:44|
1711,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,d39983326445f908cb5f2ae1d68ad5b9,91582adf9482b09c,7bbea5f3d53e244e,1714286693768,1714286693769,1,0,0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:18446744073709550939|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:39|
1715,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,d39983326445f908cb5f2ae1d68ad5b9,5ce65090f506118b,7bbea5f3d53e244e,1714286693764,1714286693766,2,0,0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709550949|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:38|
1721,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,d39983326445f908cb5f2ae1d68ad5b9,7bbea5f3d53e244e,85a1c260a290df1c,1714286693750,1714286693771,21,0,0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:36|
1736,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,d39983326445f908cb5f2ae1d68ad5b9,36f5f1b9be6701c4,7bbea5f3d53e244e,1714286693752,1714286693754,2,0,0,-1,cartservice@POST@/hipstershop.CartService/GetCart:18446744073709550928|,cartservice@POST@/hipstershop.CartService/GetCart:39|
1754,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,d39983326445f908cb5f2ae1d68ad5b9,56f5df6c5f67d33b,7bbea5f3d53e244e,1714286693760,1714286693762,2,0,0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:34|
4801,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,9036d092c82698b878fb4635a94c61e9,eb8ffc591af7edb9,15b65f46f97bd88b,1714287796378,1714287796555,177,0,0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:4|,paymentservice@POST@/hipstershop.PaymentService/Charge:168|
