,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,f5dfe768945c482450d1a461300099ac,57e47726c75fe81f,a233a19191dd6d66,14.0,15.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709547386|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:84|
1,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,f5dfe768945c482450d1a461300099ac,f02e39dbc4f43c13,a233a19191dd6d66,17.0,18.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:93|
2,us-west-1,sslateingress,POST,/cart/checkout,f5dfe768945c482450d1a461300099ac,50d1a461300099ac,nan,0.0,28.0,28.0,2.0,28.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:93|
3,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,f5dfe768945c482450d1a461300099ac,e240b51b67eae271,0fbe4a78f54249c6,21.0,26.0,5.0,5.0,5.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:18446744073709547277|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:84|
4,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,f5dfe768945c482450d1a461300099ac,a747afa9e3fd1ce7,a233a19191dd6d66,11.0,13.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:96|
5,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,f5dfe768945c482450d1a461300099ac,5d50e6d52609e1bd,a233a19191dd6d66,5.0,6.0,1.0,1.0,1.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:75|
6,us-west-1,frontend,POST,/cart/checkout,f5dfe768945c482450d1a461300099ac,0fbe4a78f54249c6,50d1a461300099ac,1.0,27.0,26.0,5.0,26.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:114|
7,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,f5dfe768945c482450d1a461300099ac,a233a19191dd6d66,0fbe4a78f54249c6,3.0,19.0,16.0,13.0,16.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:2|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:102|
8,us-west-1,sslateingress,POST,/cart/checkout,5dc753439eedbd132e69ccfdc631e263,2e69ccfdc631e263,nan,0.0,32.0,32.0,2.0,32.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:96|
9,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,5dc753439eedbd132e69ccfdc631e263,a28e3a2d23cc3e11,905acd163b58dc13,12.0,14.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:120|
