,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,currencyservice,POST,/hipstershop.CurrencyService/GetSupportedCurrencies,10791d830ceaaa6ccc2ea1100dda60b3,70e8584c564f3fee,f63f21668660acc6,37.0,40.0,3.0,3.0,3.0,-1,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:1|,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:102|
1,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,10791d830ceaaa6ccc2ea1100dda60b3,3d487d697d3a7335,e9f34dc2d919e038,24.0,25.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:18446744073709551245|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:129|
2,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,10791d830ceaaa6ccc2ea1100dda60b3,5f9faa74bbbd11e4,e9f34dc2d919e038,21.0,22.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709551259|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:120|
3,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,10791d830ceaaa6ccc2ea1100dda60b3,1eeb4e127a928e33,f63f21668660acc6,28.0,35.0,7.0,7.0,7.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:18446744073709551252|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:96|
4,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,10791d830ceaaa6ccc2ea1100dda60b3,5e7207df88340565,e9f34dc2d919e038,17.0,19.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:93|
5,us-west-1,frontend,POST,/cart/checkout,10791d830ceaaa6ccc2ea1100dda60b3,f63f21668660acc6,cc2ea1100dda60b3,1.0,41.0,40.0,10.0,40.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:114|
6,us-west-1,sslateingress,POST,/cart/checkout,10791d830ceaaa6ccc2ea1100dda60b3,cc2ea1100dda60b3,nan,0.0,42.0,42.0,2.0,42.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:93|
7,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,10791d830ceaaa6ccc2ea1100dda60b3,e9f34dc2d919e038,f63f21668660acc6,3.0,26.0,23.0,19.0,23.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:117|
8,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,10791d830ceaaa6ccc2ea1100dda60b3,511947c53d5606d6,e9f34dc2d919e038,8.0,10.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:102|
9,us-west-1,sslateingress,POST,/cart/checkout,d39983326445f908cb5f2ae1d68ad5b9,cb5f2ae1d68ad5b9,nan,0.0,36.0,36.0,3.0,36.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:90|
10,us-west-1,currencyservice,POST,/hipstershop.CurrencyService/GetSupportedCurrencies,d39983326445f908cb5f2ae1d68ad5b9,4a9b355fd60eb3d8,85a1c260a290df1c,32.0,33.0,1.0,1.0,1.0,-1,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:1|,currencyservice@POST@/hipstershop.CurrencyService/GetSupportedCurrencies:108|
11,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,d39983326445f908cb5f2ae1d68ad5b9,10aed49379206008,85a1c260a290df1c,26.0,31.0,5.0,5.0,5.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:93|
12,us-west-1,frontend,POST,/cart/checkout,d39983326445f908cb5f2ae1d68ad5b9,85a1c260a290df1c,cb5f2ae1d68ad5b9,2.0,35.0,33.0,7.0,33.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:132|
13,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,d39983326445f908cb5f2ae1d68ad5b9,91582adf9482b09c,7bbea5f3d53e244e,21.0,22.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:18446744073709550939|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:117|
14,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,d39983326445f908cb5f2ae1d68ad5b9,5ce65090f506118b,7bbea5f3d53e244e,17.0,19.0,2.0,2.0,2.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709550949|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:114|
15,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,d39983326445f908cb5f2ae1d68ad5b9,7bbea5f3d53e244e,85a1c260a290df1c,3.0,24.0,21.0,17.0,21.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:108|
16,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,d39983326445f908cb5f2ae1d68ad5b9,36f5f1b9be6701c4,7bbea5f3d53e244e,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:18446744073709550928|,cartservice@POST@/hipstershop.CartService/GetCart:117|
17,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,d39983326445f908cb5f2ae1d68ad5b9,56f5df6c5f67d33b,7bbea5f3d53e244e,13.0,15.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:102|
18,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,9036d092c82698b878fb4635a94c61e9,eb8ffc591af7edb9,15b65f46f97bd88b,160.0,337.0,177.0,177.0,177.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:4|,paymentservice@POST@/hipstershop.PaymentService/Charge:504|
19,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,9036d092c82698b878fb4635a94c61e9,de4c3d9ceeefaa45,15b65f46f97bd88b,18.0,24.0,6.0,6.0,6.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:465|
