,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,frontend,POST,/cart/empty,ccde234b0fa42dd543c8e91509684400,5690628013c04cdb,43c8e91509684400,28.0,37.0,9.0,7.0,9.0,-1,frontend@POST@/cart/empty:1|,frontend@POST@/cart/empty:1113|
1,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,ccde234b0fa42dd543c8e91509684400,536a8f55ae4b20fd,5690628013c04cdb,34.0,36.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:1|,cartservice@POST@/hipstershop.CartService/EmptyCart:1182|
2,us-west-1,sslateingress,POST,/cart/empty,ccde234b0fa42dd543c8e91509684400,43c8e91509684400,nan,0.0,104.0,104.0,95.0,104.0,-1,sslateingress@POST@/cart/empty:1|,sslateingress@POST@/cart/empty:1269|
3,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,2743b480030eec2a244e23b6729a6b69,6ab105d01cfeba06,ee7b7b1d4835c1c7,781.0,784.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:1|,cartservice@POST@/hipstershop.CartService/EmptyCart:885|
4,us-west-1,sslateingress,POST,/cart/empty,2743b480030eec2a244e23b6729a6b69,244e23b6729a6b69,nan,0.0,1500.0,1500.0,1451.0,1500.0,-1,sslateingress@POST@/cart/empty:1|,sslateingress@POST@/cart/empty:1440|
5,us-west-1,frontend,POST,/cart/empty,2743b480030eec2a244e23b6729a6b69,ee7b7b1d4835c1c7,244e23b6729a6b69,739.0,788.0,49.0,46.0,49.0,-1,frontend@POST@/cart/empty:3|,frontend@POST@/cart/empty:849|
6,us-west-1,sslateingress,POST,/cart/empty,b3e594b2eeddb7e22247e71e71b72d07,2247e71e71b72d07,nan,0.0,1556.0,1556.0,1535.0,1556.0,-1,sslateingress@POST@/cart/empty:8|,sslateingress@POST@/cart/empty:1374|
7,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,b3e594b2eeddb7e22247e71e71b72d07,bd9715f0dfe07691,2c8c2dd29d739de6,1016.0,1021.0,5.0,5.0,5.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:1|,cartservice@POST@/hipstershop.CartService/EmptyCart:1407|
8,us-west-1,frontend,POST,/cart/empty,b3e594b2eeddb7e22247e71e71b72d07,2c8c2dd29d739de6,2247e71e71b72d07,1002.0,1023.0,21.0,16.0,21.0,-1,frontend@POST@/cart/empty:1|,frontend@POST@/cart/empty:1335|
9,us-west-1,frontend,POST,/cart/empty,15ee658f9ef3c7a744d24e6a0e6b4ddc,0c57bdbbb52480a6,44d24e6a0e6b4ddc,385.0,408.0,23.0,20.0,23.0,-1,frontend@POST@/cart/empty:1|,frontend@POST@/cart/empty:1986|
10,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,15ee658f9ef3c7a744d24e6a0e6b4ddc,9b37b65022bc7976,0c57bdbbb52480a6,391.0,394.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:18446744073709549232|,cartservice@POST@/hipstershop.CartService/EmptyCart:1860|
11,us-west-1,sslateingress,POST,/cart/empty,15ee658f9ef3c7a744d24e6a0e6b4ddc,44d24e6a0e6b4ddc,nan,0.0,880.0,880.0,857.0,880.0,-1,sslateingress@POST@/cart/empty:1|,sslateingress@POST@/cart/empty:1983|
12,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,fd46379581fa6b64c6335b46aea7861d,7fcc24f3e21b55a9,9aff5ee2e01cc441,723.0,728.0,5.0,5.0,5.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:1|,cartservice@POST@/hipstershop.CartService/EmptyCart:2442|
13,us-west-1,sslateingress,POST,/cart/empty,fd46379581fa6b64c6335b46aea7861d,c6335b46aea7861d,nan,0.0,1072.0,1072.0,1057.0,1072.0,-1,sslateingress@POST@/cart/empty:2|,sslateingress@POST@/cart/empty:2175|
14,us-west-1,frontend,POST,/cart/empty,fd46379581fa6b64c6335b46aea7861d,9aff5ee2e01cc441,c6335b46aea7861d,716.0,731.0,15.0,10.0,15.0,-1,frontend@POST@/cart/empty:1|,frontend@POST@/cart/empty:2337|
15,us-west-1,sslateingress,POST,/cart/empty,a6183d08f3eed544c87e3a613b6a0bb4,c87e3a613b6a0bb4,nan,0.0,783.0,783.0,772.0,783.0,-1,sslateingress@POST@/cart/empty:0|,sslateingress@POST@/cart/empty:2715|
16,us-west-1,frontend,POST,/cart/empty,a6183d08f3eed544c87e3a613b6a0bb4,0af163d6603d6a13,c87e3a613b6a0bb4,400.0,411.0,11.0,8.0,11.0,-1,frontend@POST@/cart/empty:2|,frontend@POST@/cart/empty:2910|
17,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,a6183d08f3eed544c87e3a613b6a0bb4,23962fbd96b87975,0af163d6603d6a13,404.0,407.0,3.0,3.0,3.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:2|,cartservice@POST@/hipstershop.CartService/EmptyCart:2910|
18,us-west-1,frontend,POST,/cart/empty,2f7ade0fff927e8e3861287af5e274cc,1809dce33db09cc5,3861287af5e274cc,302.0,318.0,16.0,12.0,16.0,-1,frontend@POST@/cart/empty:2|,frontend@POST@/cart/empty:3078|
19,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,2f7ade0fff927e8e3861287af5e274cc,d1a88a9797ce7d7c,1809dce33db09cc5,313.0,317.0,4.0,4.0,4.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:1|,cartservice@POST@/hipstershop.CartService/EmptyCart:3204|
20,us-west-1,sslateingress,POST,/cart/empty,2f7ade0fff927e8e3861287af5e274cc,3861287af5e274cc,nan,0.0,643.0,643.0,627.0,643.0,-1,sslateingress@POST@/cart/empty:1|,sslateingress@POST@/cart/empty:2817|
21,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,4b468e1112d6bee37bbe3ba25954121c,3c3cd6dbcfd43f7a,7e692624f59d6e06,438.0,450.0,12.0,12.0,12.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:18446744073709543670|,cartservice@POST@/hipstershop.CartService/EmptyCart:3027|
22,us-west-1,sslateingress,POST,/cart/empty,4b468e1112d6bee37bbe3ba25954121c,7bbe3ba25954121c,nan,0.0,923.0,923.0,893.0,923.0,-1,sslateingress@POST@/cart/empty:1|,sslateingress@POST@/cart/empty:3291|
23,us-west-1,frontend,POST,/cart/empty,4b468e1112d6bee37bbe3ba25954121c,7e692624f59d6e06,7bbe3ba25954121c,430.0,460.0,30.0,18.0,30.0,-1,frontend@POST@/cart/empty:3|,frontend@POST@/cart/empty:3219|
24,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,19cae38278af75ac40a59cf78c96be26,1edaf924a2df513e,edabdb524f356935,520.0,527.0,7.0,7.0,7.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:1|,cartservice@POST@/hipstershop.CartService/EmptyCart:3516|
25,us-west-1,sslateingress,POST,/cart/empty,19cae38278af75ac40a59cf78c96be26,40a59cf78c96be26,nan,0.0,822.0,822.0,776.0,822.0,-1,sslateingress@POST@/cart/empty:1|,sslateingress@POST@/cart/empty:3384|
26,us-west-1,frontend,POST,/cart/empty,19cae38278af75ac40a59cf78c96be26,edabdb524f356935,40a59cf78c96be26,495.0,541.0,46.0,39.0,46.0,-1,frontend@POST@/cart/empty:9|,frontend@POST@/cart/empty:3435|
27,us-west-1,sslateingress,POST,/cart/empty,854f7e098e2e19cb81c053f49f16e121,81c053f49f16e121,nan,0.0,990.0,990.0,916.0,990.0,-1,sslateingress@POST@/cart/empty:2|,sslateingress@POST@/cart/empty:3057|
28,us-west-1,frontend,POST,/cart/empty,854f7e098e2e19cb81c053f49f16e121,b812ab4b68c5cbda,81c053f49f16e121,690.0,764.0,74.0,60.0,74.0,-1,frontend@POST@/cart/empty:3|,frontend@POST@/cart/empty:3543|
29,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,854f7e098e2e19cb81c053f49f16e121,a57a9b8ed119e024,b812ab4b68c5cbda,729.0,743.0,14.0,14.0,14.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:4|,cartservice@POST@/hipstershop.CartService/EmptyCart:3516|
30,us-west-1,sslateingress,POST,/cart/empty,e1c74e520928aaac56816aa39c3886c2,56816aa39c3886c2,nan,0.0,653.0,653.0,631.0,653.0,-1,sslateingress@POST@/cart/empty:1|,sslateingress@POST@/cart/empty:3081|
31,us-west-1,frontend,POST,/cart/empty,e1c74e520928aaac56816aa39c3886c2,6eb0301c033b8ffb,56816aa39c3886c2,330.0,352.0,22.0,18.0,22.0,-1,frontend@POST@/cart/empty:1|,frontend@POST@/cart/empty:3372|
32,us-west-1,cartservice,POST,/hipstershop.CartService/EmptyCart,e1c74e520928aaac56816aa39c3886c2,2406a7807f837a8d,6eb0301c033b8ffb,343.0,347.0,4.0,4.0,4.0,-1,cartservice@POST@/hipstershop.CartService/EmptyCart:1|,cartservice@POST@/hipstershop.CartService/EmptyCart:3495|
33,us-west-1,sslateingress,POST,/cart/empty,21adad5fd6cbd4e2490fbdc975686375,490fbdc975686375,nan,0.0,582.0,582.0,567.0,582.0,-1,sslateingress@POST@/cart/empty:2|,sslateingress@POST@/cart/empty:3543|
