counter,region,service,endpoint,rps
13,us-west-1,frontend,frontend@POST@/cart/checkout,0
13,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,0
13,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
13,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
13,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
13,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
13,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
13,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
13,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,0
13,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
13,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
13,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
13,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
13,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
13,us-east-1,frontend,frontend@POST@/cart/checkout,0
13,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
13,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
13,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,0
13,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
13,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
13,us-south-1,frontend,frontend@POST@/cart/checkout,0
13,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
13,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
13,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
13,us-central-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
13,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,0
13,us-central-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
13,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
13,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
13,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
13,us-central-1,frontend,frontend@POST@/cart/checkout,0
13,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
14,us-west-1,frontend,frontend@POST@/cart/checkout,0
14,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,0
14,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
14,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
14,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
14,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
14,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
14,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
14,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,0
14,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
14,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
14,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
14,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
14,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
14,us-east-1,frontend,frontend@POST@/cart/checkout,0
14,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
14,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
14,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,0
14,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
14,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
14,us-south-1,frontend,frontend@POST@/cart/checkout,0
14,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
14,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
14,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
14,us-central-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
14,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,0
14,us-central-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
14,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
14,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
14,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
14,us-central-1,frontend,frontend@POST@/cart/checkout,0
14,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
15,us-west-1,frontend,frontend@POST@/cart/checkout,0
15,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,0
15,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
15,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
15,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
15,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
15,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
15,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
15,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,0
15,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
15,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
15,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
15,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
15,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
15,us-east-1,frontend,frontend@POST@/cart/checkout,0
15,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
15,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
15,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,0
15,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
15,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
15,us-south-1,frontend,frontend@POST@/cart/checkout,0
15,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
15,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
15,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
15,us-central-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
15,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,0
15,us-central-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
15,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
15,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
15,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
15,us-central-1,frontend,frontend@POST@/cart/checkout,0
15,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
16,us-west-1,frontend,frontend@POST@/cart/checkout,0
16,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,0
16,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
16,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
16,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
16,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
16,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
16,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
16,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,0
16,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
16,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
16,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
16,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
16,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
16,us-east-1,frontend,frontend@POST@/cart/checkout,0
16,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
16,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
16,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,0
16,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
16,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
16,us-south-1,frontend,frontend@POST@/cart/checkout,0
16,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
16,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
16,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
16,us-central-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
16,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,0
16,us-central-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
16,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
16,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
16,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
16,us-central-1,frontend,frontend@POST@/cart/checkout,0
16,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
17,us-west-1,frontend,frontend@POST@/cart/checkout,6
17,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,2
17,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,1
17,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
17,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,3
17,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
17,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,1
17,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
17,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,0
17,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
17,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
17,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
17,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
17,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
17,us-east-1,frontend,frontend@POST@/cart/checkout,0
17,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
17,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
17,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,0
17,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
17,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
17,us-south-1,frontend,frontend@POST@/cart/checkout,0
17,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
17,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
17,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
17,us-central-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,0
17,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,0
17,us-central-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,0
17,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,0
17,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,0
17,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,0
17,us-central-1,frontend,frontend@POST@/cart/checkout,0
17,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,0
18,us-west-1,frontend,frontend@POST@/cart/checkout,17
18,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,15
18,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,5
18,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,12
18,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,19
